timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-06-26T00:00:00.000Z,2023-06-26T23:59:59.999Z,2023-06-26T14:01:00.000Z,2023-06-26T02:28:00.000Z,2781,238.879124138,241.1738513114,234.2963413034,236.13426182,427457532.35,36801991687.73,2023-06-26T23:59:59.999Z
2023-06-25T00:00:00.000Z,2023-06-25T23:59:59.999Z,2023-06-25T08:55:00.000Z,2023-06-25T01:10:00.000Z,2781,236.6367716111,241.872754787,235.6361320455,238.892989006,414941210.86,37231984362.03,2023-06-25T23:59:59.999Z
2023-06-24T00:00:00.000Z,2023-06-24T23:59:59.999Z,2023-06-24T06:01:00.000Z,2023-06-24T16:05:00.000Z,2781,244.5535184023,248.4286261487,231.9947555545,236.6596520087,558809140.43,36883950527.41,2023-06-24T23:59:59.999Z
2023-06-23T00:00:00.000Z,2023-06-23T23:59:59.999Z,2023-06-23T16:12:00.000Z,2023-06-23T02:22:00.000Z,2781,240.7920600944,248.8097815421,240.0948179113,244.5649433739,493157882.3,38116045263.7,2023-06-23T23:59:59.999Z
2023-06-22T00:00:00.000Z,2023-06-22T23:59:59.999Z,2023-06-22T03:02:00.000Z,2023-06-22T23:08:00.000Z,2781,249.2764780588,256.2200356315,240.0521994171,240.7924302456,709030406.9,37528132819.48,2023-06-22T23:59:59.999Z
2023-06-21T00:00:00.000Z,2023-06-21T23:59:59.999Z,2023-06-21T02:44:00.000Z,2023-06-21T13:07:00.000Z,2781,247.6829313813,253.5419384537,245.5482506005,249.2863399204,717670518.57,38851972309.51,2023-06-21T23:59:59.999Z
2023-06-20T00:00:00.000Z,2023-06-20T23:59:59.999Z,2023-06-20T23:55:00.000Z,2023-06-20T14:31:00.000Z,2781,242.8818524432,247.8226978891,239.0187450839,247.6744319144,477391842.74,38600804407.17,2023-06-20T23:59:59.999Z
2023-06-19T00:00:00.000Z,2023-06-19T23:59:59.999Z,2023-06-19T00:19:00.000Z,2023-06-19T16:37:00.000Z,2781,244.0900456118,244.4119980266,239.1456665696,242.9033630644,359118141.61,37857260605.7,2023-06-19T23:59:59.999Z
2023-06-18T00:00:00.000Z,2023-06-18T23:59:59.999Z,2023-06-18T10:17:00.000Z,2023-06-18T23:01:00.000Z,2781,244.5958066801,248.2725629305,242.7691472321,244.0872619372,372246651.93,38041814289.92,2023-06-18T23:59:59.999Z
2023-06-17T00:00:00.000Z,2023-06-17T23:59:59.999Z,2023-06-17T06:25:00.000Z,2023-06-17T01:12:00.000Z,2781,239.1290235375,249.1301103518,237.4179051005,244.6105736155,451849200.34,38123407213.86,2023-06-17T23:59:59.999Z
2023-06-16T00:00:00.000Z,2023-06-16T23:59:59.999Z,2023-06-16T18:17:00.000Z,2023-06-16T11:40:00.000Z,2781,236.2734465695,242.801987405,232.8285166181,239.1146643165,488582672.47,37266887790.31,2023-06-16T23:59:59.999Z
